ticker,event_date,side,threshold,score,hold_type,hold_value,stop_loss,profit_target,entry_ts,exit_ts,entry_px,exit_px,stock_ret,market_ret,excess_ret,exit_reason,side_label
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,60,,,2023-03-17 09:30:00,2023-03-17 10:30:00,226.05,219.955,0.02696306126963066,-0.007273282132139847,0.03423634340177051,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,60,,0.01,2023-03-17 09:30:00,2023-03-17 09:30:00,226.05,223.7895,0.010000000000000009,-0.0006357764101521113,0.01063577641015212,profit_target,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,60,,0.03,2023-03-17 09:30:00,2023-03-17 10:30:00,226.05,219.955,0.02696306126963066,-0.007273282132139847,0.03423634340177051,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,60,,0.05,2023-03-17 09:30:00,2023-03-17 10:30:00,226.05,219.955,0.02696306126963066,-0.007273282132139847,0.03423634340177051,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,60,,0.1,2023-03-17 09:30:00,2023-03-17 10:30:00,226.05,219.955,0.02696306126963066,-0.007273282132139847,0.03423634340177051,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,60,,0.2,2023-03-17 09:30:00,2023-03-17 10:30:00,226.05,219.955,0.02696306126963066,-0.007273282132139847,0.03423634340177051,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,60,0.01,,2023-03-17 09:30:00,2023-03-17 10:30:00,226.05,219.955,0.02696306126963066,-0.007273282132139847,0.03423634340177051,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,60,0.01,0.01,2023-03-17 09:30:00,2023-03-17 09:30:00,226.05,223.7895,0.010000000000000009,-0.0006357764101521113,0.01063577641015212,profit_target,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,60,0.01,0.03,2023-03-17 09:30:00,2023-03-17 10:30:00,226.05,219.955,0.02696306126963066,-0.007273282132139847,0.03423634340177051,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,60,0.01,0.05,2023-03-17 09:30:00,2023-03-17 10:30:00,226.05,219.955,0.02696306126963066,-0.007273282132139847,0.03423634340177051,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,60,0.01,0.1,2023-03-17 09:30:00,2023-03-17 10:30:00,226.05,219.955,0.02696306126963066,-0.007273282132139847,0.03423634340177051,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,60,0.01,0.2,2023-03-17 09:30:00,2023-03-17 10:30:00,226.05,219.955,0.02696306126963066,-0.007273282132139847,0.03423634340177051,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,60,0.03,,2023-03-17 09:30:00,2023-03-17 10:30:00,226.05,219.955,0.02696306126963066,-0.007273282132139847,0.03423634340177051,time_exit,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,60,0.03,0.01,2023-03-17 09:30:00,2023-03-17 09:30:00,226.05,223.7895,0.010000000000000009,-0.0006357764101521113,0.01063577641015212,profit_target,short
FDX,2023-03-16,-1,0.5,-0.8749389672804981,intraday,60,0.03,0.03,2023-03-17 09:30:00,2023-03-17 10:30:00,226.05,219.955,0.02696306126963066,-0.007273282132139847,0.03423634340177051,time_exit,short
